,fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
213,2020-03-30,Chaco,22,3
214,2020-03-30,Córdoba,14,10
215,2020-03-30,Entre Ríos,30,2
216,2020-03-30,Jujuy,38,1
217,2020-03-30,La Rioja,46,1
218,2020-03-30,Mendoza,50,4
219,2020-03-30,Neuquén,58,10
220,2020-03-30,Río Negro,62,1
221,2020-03-30,Santa Fe,82,14
222,2020-03-30,Santiago del Estero,86,1
223,2020-03-30,Tierra del Fuego,94,7
224,2020-03-30,Tucumán,90,4
225,2020-03-31,Buenos Aires,06,26
226,2020-03-31,CABA,02,20
227,2020-03-31,Chaco,22,3
228,2020-03-31,Corrientes,18,4
229,2020-03-31,Córdoba,14,9
230,2020-03-31,Entre Ríos,30,1
231,2020-03-31,Jujuy,38,4
232,2020-03-31,La Rioja,46,1
233,2020-03-31,Mendoza,50,2
234,2020-03-31,Misiones,54,1
235,2020-03-31,Salta,66,1
236,2020-03-31,Santa Fe,82,23
237,2020-03-31,Tierra del Fuego,94,8
238,2020-03-31,Tucumán,90,1
239,2020-04-01,Buenos Aires,06,29
240,2020-04-01,CABA,02,35
241,2020-04-01,Catamarca,10,1
242,2020-04-01,Chaco,22,8
243,2020-04-01,Córdoba,14,10
244,2020-04-01,Jujuy,38,2
245,2020-04-01,Neuquén,58,2
246,2020-04-01,Río Negro,62,4
247,2020-04-01,Santa Cruz,78,5
248,2020-04-01,Santa Fe,82,11
249,2020-04-01,Tierra del Fuego,94,5
250,2020-04-01,Tucumán,90,1
251,2020-04-02,Buenos Aires,06,43
252,2020-04-02,CABA,02,47
253,2020-04-02,Chaco,22,4
254,2020-04-02,Corrientes,18,1
255,2020-04-02,Córdoba,14,12
256,2020-04-02,Jujuy,38,5
257,2020-04-02,La Rioja,46,3
258,2020-04-02,Mendoza,50,3
259,2020-04-02,Neuquén,58,3
260,2020-04-02,Río Negro,62,3
261,2020-04-02,San Luis,74,1
262,2020-04-02,Santa Cruz,78,4
263,2020-04-02,Santa Fe,82,10
264,2020-04-02,Tierra del Fuego,94,6
265,2020-04-03,Buenos Aires,06,45
266,2020-04-03,CABA,02,28
267,2020-04-03,Chaco,22,2
268,2020-04-03,Corrientes,18,2
269,2020-04-03,Córdoba,14,7
270,2020-04-03,La Rioja,46,11
271,2020-04-03,Mendoza,50,2
272,2020-04-03,Neuquén,58,5
273,2020-04-03,Río Negro,62,2
274,2020-04-03,San Luis,74,1
275,2020-04-03,Santa Cruz,78,1
276,2020-04-03,Santa Fe,82,9
277,2020-04-03,Tierra del Fuego,94,1
278,2020-04-03,Tucumán,90,3
279,2020-04-04,Buenos Aires,06,35
280,2020-04-04,CABA,02,13
281,2020-04-04,Chaco,22,10
282,2020-04-04,Córdoba,14,10
283,2020-04-04,Entre Ríos,30,1
284,2020-04-04,Mendoza,50,3
285,2020-04-04,Neuquén,58,10
286,2020-04-04,Río Negro,62,3
287,2020-04-04,SIN ESPECIFICAR,99,1
288,2020-04-04,Santa Cruz,78,1
289,2020-04-04,Santa Fe,82,10
290,2020-04-04,Tierra del Fuego,94,5
291,2020-04-04,Tucumán,90,1
292,2020-04-05,Buenos Aires,06,13
293,2020-04-05,CABA,02,20
294,2020-04-05,Chaco,22,3
295,2020-04-05,Córdoba,14,8
296,2020-04-05,La Rioja,46,2
297,2020-04-05,Mendoza,50,2
298,2020-04-05,Neuquén,58,6
299,2020-04-05,Río Negro,62,5
300,2020-04-05,Santa Fe,82,7
301,2020-04-05,Tierra del Fuego,94,4
302,2020-04-05,Tucumán,90,2
303,2020-04-06,Buenos Aires,06,44
304,2020-04-06,CABA,02,34
305,2020-04-06,Chaco,22,5
306,2020-04-06,Corrientes,18,2
307,2020-04-06,Córdoba,14,9
308,2020-04-06,Jujuy,38,2
309,2020-04-06,La Pampa,42,1
310,2020-04-06,La Rioja,46,3
311,2020-04-06,Mendoza,50,6
312,2020-04-06,Neuquén,58,16
313,2020-04-06,Río Negro,62,4
314,2020-04-06,Santa Cruz,78,1
315,2020-04-06,Santa Fe,82,9
316,2020-04-06,Santiago del Estero,86,5
317,2020-04-06,Tierra del Fuego,94,1
318,2020-04-06,Tucumán,90,4
319,2020-04-07,Buenos Aires,06,35
320,2020-04-07,CABA,02,34
321,2020-04-07,Chaco,22,13
322,2020-04-07,Chubut,26,1
323,2020-04-07,Córdoba,14,4
324,2020-04-07,Jujuy,38,1
325,2020-04-07,La Rioja,46,1
326,2020-04-07,Mendoza,50,3
327,2020-04-07,Neuquén,58,5
328,2020-04-07,Río Negro,62,8
329,2020-04-07,Santa Cruz,78,2
330,2020-04-07,Santa Fe,82,7
331,2020-04-07,Santiago del Estero,86,1
332,2020-04-07,Tierra del Fuego,94,2
333,2020-04-07,Tucumán,90,2
334,2020-04-08,Buenos Aires,06,39
335,2020-04-08,CABA,02,21
336,2020-04-08,Chaco,22,9
337,2020-04-08,Corrientes,18,1
338,2020-04-08,Córdoba,14,7
339,2020-04-08,La Rioja,46,5
340,2020-04-08,Mendoza,50,8
341,2020-04-08,Neuquén,58,10
342,2020-04-08,Río Negro,62,4
343,2020-04-08,San Luis,74,1
344,2020-04-08,Santa Cruz,78,2
345,2020-04-08,Santa Fe,82,5
346,2020-04-08,Tierra del Fuego,94,1
347,2020-04-08,Tucumán,90,1
348,2020-04-09,Buenos Aires,06,40
349,2020-04-09,CABA,02,29
350,2020-04-09,Catamarca,10,1
351,2020-04-09,Chaco,22,2
352,2020-04-09,Corrientes,18,8
353,2020-04-09,Córdoba,14,20
354,2020-04-09,Entre Ríos,30,1
355,2020-04-09,Jujuy,38,2
356,2020-04-09,La Pampa,42,1
357,2020-04-09,La Rioja,46,3
358,2020-04-09,Mendoza,50,13
359,2020-04-09,Neuquén,58,3
360,2020-04-09,Río Negro,62,9
361,2020-04-09,San Juan,70,2
362,2020-04-09,Santa Cruz,78,3
363,2020-04-09,Tierra del Fuego,94,5
364,2020-04-10,Buenos Aires,06,41
365,2020-04-10,CABA,02,8
366,2020-04-10,Chaco,22,5
367,2020-04-10,Chubut,26,1
368,2020-04-10,Corrientes,18,5
369,2020-04-10,Córdoba,14,3
370,2020-04-10,La Rioja,46,8
371,2020-04-10,Mendoza,50,6
372,2020-04-10,Neuquén,58,1
373,2020-04-10,Río Negro,62,10
374,2020-04-10,Santa Cruz,78,2
375,2020-04-10,Santa Fe,82,5
376,2020-04-10,Tierra del Fuego,94,2
377,2020-04-10,Tucumán,90,1
378,2020-04-11,Buenos Aires,06,45
379,2020-04-11,CABA,02,22
380,2020-04-11,Chaco,22,3
381,2020-04-11,Corrientes,18,7
382,2020-04-11,Córdoba,14,37
383,2020-04-11,Formosa,34,1
384,2020-04-11,Jujuy,38,1
385,2020-04-11,La Rioja,46,1
386,2020-04-11,Mendoza,50,2
387,2020-04-11,Neuquén,58,1
388,2020-04-11,Río Negro,62,24
389,2020-04-11,Santa Cruz,78,2
390,2020-04-11,Santa Fe,82,1
391,2020-04-11,Santiago del Estero,86,2
392,2020-04-11,Tierra del Fuego,94,6
393,2020-04-12,Buenos Aires,06,48
394,2020-04-12,CABA,02,17
395,2020-04-12,Chaco,22,16
396,2020-04-12,Corrientes,18,11
397,2020-04-12,Córdoba,14,9
398,2020-04-12,Jujuy,38,2
399,2020-04-12,La Rioja,46,4
400,2020-04-12,Mendoza,50,5
401,2020-04-12,Neuquén,58,4
402,2020-04-12,Río Negro,62,7
403,2020-04-12,Salta,66,1
404,2020-04-12,San Juan,70,1
405,2020-04-12,San Luis,74,1
406,2020-04-12,Santa Fe,82,2
407,2020-04-12,Tierra del Fuego,94,7
408,2020-04-13,Buenos Aires,06,78
409,2020-04-13,CABA,02,33
410,2020-04-13,Chaco,22,19
411,2020-04-13,Corrientes,18,8
412,2020-04-13,Córdoba,14,7
413,2020-04-13,Jujuy,38,2
414,2020-04-13,La Rioja,46,12
415,2020-04-13,Mendoza,50,6
416,2020-04-13,Neuquén,58,1
417,2020-04-13,Río Negro,62,9
418,2020-04-13,Salta,66,1
419,2020-04-13,Santa Fe,82,6
420,2020-04-13,Tierra del Fuego,94,2
421,2020-04-14,Buenos Aires,06,46
422,2020-04-14,CABA,02,24
423,2020-04-14,Chaco,22,8
424,2020-04-14,Corrientes,18,3
425,2020-04-14,Córdoba,14,13
426,2020-04-14,Jujuy,38,3
427,2020-04-14,La Rioja,46,1
428,2020-04-14,Mendoza,50,11
429,2020-04-14,Neuquén,58,1
430,2020-04-14,Río Negro,62,20
431,2020-04-14,SIN ESPECIFICAR,99,1
432,2020-04-14,Santa Fe,82,3
433,2020-04-14,Tierra del Fuego,94,3
434,2020-04-15,Buenos Aires,06,66
435,2020-04-15,CABA,02,31
436,2020-04-15,Catamarca,10,1
437,2020-04-15,Chaco,22,10
438,2020-04-15,Corrientes,18,1
439,2020-04-15,Córdoba,14,11
440,2020-04-15,Entre Ríos,30,1
441,2020-04-15,Jujuy,38,4
442,2020-04-15,La Rioja,46,6
443,2020-04-15,Mendoza,50,4
444,2020-04-15,Río Negro,62,12
445,2020-04-15,Santa Cruz,78,1
446,2020-04-15,Santa Fe,82,6
447,2020-04-15,Tierra del Fuego,94,9
448,2020-04-15,Tucumán,90,1
449,2020-04-16,Buenos Aires,06,65
450,2020-04-16,CABA,02,30
451,2020-04-16,Chaco,22,17
452,2020-04-16,Chubut,26,1
453,2020-04-16,Corrientes,18,3
454,2020-04-16,Córdoba,14,14
455,2020-04-16,Jujuy,38,1
456,2020-04-16,La Rioja,46,4
457,2020-04-16,Mendoza,50,5
458,2020-04-16,Río Negro,62,8
459,2020-04-16,San Luis,74,1
460,2020-04-16,Santa Fe,82,4
461,2020-04-16,Tucumán,90,1
462,2020-04-17,Buenos Aires,06,79
463,2020-04-17,CABA,02,29
464,2020-04-17,Catamarca,10,1
465,2020-04-17,Chaco,22,12
466,2020-04-17,Córdoba,14,7
467,2020-04-17,Jujuy,38,4
468,2020-04-17,La Rioja,46,8
469,2020-04-17,Mendoza,50,3
470,2020-04-17,Misiones,54,2
471,2020-04-17,Neuquén,58,3
472,2020-04-17,Río Negro,62,6
473,2020-04-17,Salta,66,1
474,2020-04-17,San Juan,70,1
