fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
2020-04-06,Río Negro,62,4
2020-04-06,Santa Cruz,78,1
2020-04-06,Santa Fe,82,9
2020-04-06,Santiago del Estero,86,5
2020-04-06,Tierra del Fuego,94,1
2020-04-06,Tucumán,90,4
2020-04-07,Buenos Aires,06,35
2020-04-07,CABA,02,34
2020-04-07,Chaco,22,13
2020-04-07,Chubut,26,1
2020-04-07,Córdoba,14,4
2020-04-07,Jujuy,38,1
2020-04-07,La Rioja,46,1
2020-04-07,Mendoza,50,3
2020-04-07,Neuquén,58,5
2020-04-07,Río Negro,62,8
2020-04-07,Santa Cruz,78,2
2020-04-07,Santa Fe,82,7
2020-04-07,Santiago del Estero,86,1
2020-04-07,Tierra del Fuego,94,2
2020-04-07,Tucumán,90,2
2020-04-08,Buenos Aires,06,39
2020-04-08,CABA,02,21
2020-04-08,Chaco,22,9
2020-04-08,Corrientes,18,1
2020-04-08,Córdoba,14,7
2020-04-08,La Rioja,46,5
2020-04-08,Mendoza,50,8
2020-04-08,Neuquén,58,10
2020-04-08,Río Negro,62,4
2020-04-08,San Luis,74,1
2020-04-08,Santa Cruz,78,2
2020-04-08,Santa Fe,82,5
2020-04-08,Tierra del Fuego,94,1
2020-04-08,Tucumán,90,1
2020-04-09,Buenos Aires,06,40
2020-04-09,CABA,02,29
2020-04-09,Catamarca,10,1
2020-04-09,Chaco,22,2
2020-04-09,Corrientes,18,8
2020-04-09,Córdoba,14,20
2020-04-09,Entre Ríos,30,1
2020-04-09,Jujuy,38,2
2020-04-09,La Pampa,42,1
2020-04-09,La Rioja,46,3
2020-04-09,Mendoza,50,13
2020-04-09,Neuquén,58,3
2020-04-09,Río Negro,62,9
2020-04-09,San Juan,70,2
2020-04-09,Santa Cruz,78,3
2020-04-09,Tierra del Fuego,94,5
2020-04-10,Buenos Aires,06,41
2020-04-10,CABA,02,8
2020-04-10,Chaco,22,5
2020-04-10,Chubut,26,1
2020-04-10,Corrientes,18,5
2020-04-10,Córdoba,14,3
2020-04-10,La Rioja,46,8
2020-04-10,Mendoza,50,6
2020-04-10,Neuquén,58,1
2020-04-10,Río Negro,62,10
2020-04-10,Santa Cruz,78,2
2020-04-10,Santa Fe,82,5
2020-04-10,Tierra del Fuego,94,2
2020-04-10,Tucumán,90,1
2020-04-11,Buenos Aires,06,45
2020-04-11,CABA,02,22
2020-04-11,Chaco,22,3
2020-04-11,Corrientes,18,7
2020-04-11,Córdoba,14,37
2020-04-11,Formosa,34,1
2020-04-11,Jujuy,38,1
2020-04-11,La Rioja,46,1
2020-04-11,Mendoza,50,2
2020-04-11,Neuquén,58,1
2020-04-11,Río Negro,62,24
2020-04-11,Santa Cruz,78,2
2020-04-11,Santa Fe,82,1
2020-04-11,Santiago del Estero,86,2
2020-04-11,Tierra del Fuego,94,6
2020-04-12,Buenos Aires,06,48
2020-04-12,CABA,02,17
2020-04-12,Chaco,22,16
2020-04-12,Corrientes,18,11
2020-04-12,Córdoba,14,9
2020-04-12,Jujuy,38,2
2020-04-12,La Rioja,46,4
2020-04-12,Mendoza,50,5
2020-04-12,Neuquén,58,4
2020-04-12,Río Negro,62,7
2020-04-12,Salta,66,1
2020-04-12,San Juan,70,1
2020-04-12,San Luis,74,1
2020-04-12,Santa Fe,82,2
2020-04-12,Tierra del Fuego,94,7
2020-04-13,Buenos Aires,06,78
2020-04-13,CABA,02,33
2020-04-13,Chaco,22,19
2020-04-13,Corrientes,18,8
2020-04-13,Córdoba,14,7
2020-04-13,Jujuy,38,2
2020-04-13,La Rioja,46,12
2020-04-13,Mendoza,50,6
2020-04-13,Neuquén,58,1
2020-04-13,Río Negro,62,9
2020-04-13,Salta,66,1
2020-04-13,Santa Fe,82,6
2020-04-13,Tierra del Fuego,94,2
2020-04-14,Buenos Aires,06,46
2020-04-14,CABA,02,24
2020-04-14,Chaco,22,8
2020-04-14,Corrientes,18,3
2020-04-14,Córdoba,14,13
2020-04-14,Jujuy,38,3
2020-04-14,La Rioja,46,1
2020-04-14,Mendoza,50,11
2020-04-14,Neuquén,58,1
2020-04-14,Río Negro,62,20
2020-04-14,SIN ESPECIFICAR,99,1
2020-04-14,Santa Fe,82,3
2020-04-14,Tierra del Fuego,94,3
2020-04-15,Buenos Aires,06,66
2020-04-15,CABA,02,31
2020-04-15,Catamarca,10,1
2020-04-15,Chaco,22,10
2020-04-15,Corrientes,18,1
2020-04-15,Córdoba,14,11
2020-04-15,Entre Ríos,30,1
2020-04-15,Jujuy,38,4
2020-04-15,La Rioja,46,6
2020-04-15,Mendoza,50,4
2020-04-15,Río Negro,62,12
2020-04-15,Santa Cruz,78,1
2020-04-15,Santa Fe,82,6
2020-04-15,Tierra del Fuego,94,9
2020-04-15,Tucumán,90,1
2020-04-16,Buenos Aires,06,65
2020-04-16,CABA,02,30
2020-04-16,Chaco,22,17
2020-04-16,Chubut,26,1
2020-04-16,Corrientes,18,3
2020-04-16,Córdoba,14,14
2020-04-16,Jujuy,38,1
2020-04-16,La Rioja,46,4
2020-04-16,Mendoza,50,5
2020-04-16,Río Negro,62,8
2020-04-16,San Luis,74,1
2020-04-16,Santa Fe,82,4
2020-04-16,Tucumán,90,1
2020-04-17,Buenos Aires,06,79
2020-04-17,CABA,02,29
2020-04-17,Catamarca,10,1
2020-04-17,Chaco,22,12
2020-04-17,Córdoba,14,7
2020-04-17,Jujuy,38,4
2020-04-17,La Rioja,46,8
2020-04-17,Mendoza,50,3
2020-04-17,Misiones,54,2
2020-04-17,Neuquén,58,3
2020-04-17,Río Negro,62,6
2020-04-17,Salta,66,1
2020-04-17,San Juan,70,1
2020-04-17,Santa Cruz,78,1
