fecha_apertura;residencia_provincia_nombre;residencia_provincia_id;cantidad
2/4/2020;La Rioja;46;3
2/4/2020;Mendoza;50;3
2/4/2020;Neuquén;58;3
2/4/2020;Río Negro;62;3
2/4/2020;San Luis;74;1
2/4/2020;Santa Cruz;78;4
2/4/2020;Santa Fe;82;10
2/4/2020;Tierra del Fuego;94;6
3/4/2020;Buenos Aires;6;45
3/4/2020;CABA;2;28
3/4/2020;Chaco;22;2
3/4/2020;Corrientes;18;2
3/4/2020;Córdoba;14;7
3/4/2020;La Rioja;46;11
3/4/2020;Mendoza;50;2
3/4/2020;Neuquén;58;5
3/4/2020;Río Negro;62;2
3/4/2020;San Luis;74;1
3/4/2020;Santa Cruz;78;1
3/4/2020;Santa Fe;82;9
3/4/2020;Tierra del Fuego;94;1
3/4/2020;Tucumán;90;3
4/4/2020;Buenos Aires;6;35
4/4/2020;CABA;2;13
4/4/2020;Chaco;22;10
4/4/2020;Córdoba;14;10
4/4/2020;Entre Ríos;30;1
4/4/2020;Mendoza;50;3
4/4/2020;Neuquén;58;10
4/4/2020;Río Negro;62;3
4/4/2020;SIN ESPECIFICAR;99;1
4/4/2020;Santa Cruz;78;1
4/4/2020;Santa Fe;82;10
4/4/2020;Tierra del Fuego;94;5
4/4/2020;Tucumán;90;1
5/4/2020;Buenos Aires;6;13
5/4/2020;CABA;2;20
5/4/2020;Chaco;22;3
5/4/2020;Córdoba;14;8
5/4/2020;La Rioja;46;2
5/4/2020;Mendoza;50;2
5/4/2020;Neuquén;58;6
5/4/2020;Río Negro;62;5
5/4/2020;Santa Fe;82;7
5/4/2020;Tierra del Fuego;94;4
5/4/2020;Tucumán;90;2
6/4/2020;Buenos Aires;6;44
6/4/2020;CABA;2;34
6/4/2020;Chaco;22;5
6/4/2020;Corrientes;18;2
6/4/2020;Córdoba;14;9
6/4/2020;Jujuy;38;2
6/4/2020;La Pampa;42;1
6/4/2020;La Rioja;46;3
6/4/2020;Mendoza;50;6
6/4/2020;Neuquén;58;16
6/4/2020;Río Negro;62;4
6/4/2020;Santa Cruz;78;1
6/4/2020;Santa Fe;82;9
6/4/2020;Santiago del Estero;86;5
6/4/2020;Tierra del Fuego;94;1
6/4/2020;Tucumán;90;4
7/4/2020;Buenos Aires;6;35
7/4/2020;CABA;2;34
7/4/2020;Chaco;22;13
7/4/2020;Chubut;26;1
7/4/2020;Córdoba;14;4
7/4/2020;Jujuy;38;1
7/4/2020;La Rioja;46;1
7/4/2020;Mendoza;50;3
7/4/2020;Neuquén;58;5
7/4/2020;Río Negro;62;8
7/4/2020;Santa Cruz;78;2
7/4/2020;Santa Fe;82;7
7/4/2020;Santiago del Estero;86;1
7/4/2020;Tierra del Fuego;94;2
7/4/2020;Tucumán;90;2
8/4/2020;Buenos Aires;6;39
8/4/2020;CABA;2;21
8/4/2020;Chaco;22;9
8/4/2020;Corrientes;18;1
8/4/2020;Córdoba;14;7
8/4/2020;La Rioja;46;5
8/4/2020;Mendoza;50;8
8/4/2020;Neuquén;58;10
8/4/2020;Río Negro;62;4
8/4/2020;San Luis;74;1
8/4/2020;Santa Cruz;78;2
8/4/2020;Santa Fe;82;5
8/4/2020;Tierra del Fuego;94;1
8/4/2020;Tucumán;90;1
9/4/2020;Buenos Aires;6;40
9/4/2020;CABA;2;29
9/4/2020;Catamarca;10;1
9/4/2020;Chaco;22;2
9/4/2020;Corrientes;18;8
9/4/2020;Córdoba;14;20
9/4/2020;Entre Ríos;30;1
9/4/2020;Jujuy;38;2
9/4/2020;La Pampa;42;1
9/4/2020;La Rioja;46;3
9/4/2020;Mendoza;50;13
9/4/2020;Neuquén;58;3
9/4/2020;Río Negro;62;9
9/4/2020;San Juan;70;2
9/4/2020;Santa Cruz;78;3
9/4/2020;Tierra del Fuego;94;5
10/4/2020;Buenos Aires;6;41
10/4/2020;CABA;2;8
10/4/2020;Chaco;22;5
10/4/2020;Chubut;26;1
10/4/2020;Corrientes;18;5
10/4/2020;Córdoba;14;3
10/4/2020;La Rioja;46;8
10/4/2020;Mendoza;50;6
10/4/2020;Neuquén;58;1
10/4/2020;Río Negro;62;10
10/4/2020;Santa Cruz;78;2
10/4/2020;Santa Fe;82;5
10/4/2020;Tierra del Fuego;94;2
10/4/2020;Tucumán;90;1
11/4/2020;Buenos Aires;6;45
11/4/2020;CABA;2;22
11/4/2020;Chaco;22;3
11/4/2020;Corrientes;18;7
11/4/2020;Córdoba;14;37
11/4/2020;Formosa;34;1
11/4/2020;Jujuy;38;1
11/4/2020;La Rioja;46;1
11/4/2020;Mendoza;50;2
11/4/2020;Neuquén;58;1
11/4/2020;Río Negro;62;24
11/4/2020;Santa Cruz;78;2
11/4/2020;Santa Fe;82;1
11/4/2020;Santiago del Estero;86;2
11/4/2020;Tierra del Fuego;94;6
12/4/2020;Buenos Aires;6;48
12/4/2020;CABA;2;17
12/4/2020;Chaco;22;16
12/4/2020;Corrientes;18;11
12/4/2020;Córdoba;14;9
12/4/2020;Jujuy;38;2
12/4/2020;La Rioja;46;4
12/4/2020;Mendoza;50;5
12/4/2020;Neuquén;58;4
12/4/2020;Río Negro;62;7
12/4/2020;Salta;66;1
12/4/2020;San Juan;70;1
12/4/2020;San Luis;74;1
12/4/2020;Santa Fe;82;2
12/4/2020;Tierra del Fuego;94;7
13/4/2020;Buenos Aires;6;78
13/4/2020;CABA;2;33
13/4/2020;Chaco;22;19
13/4/2020;Corrientes;18;8
13/4/2020;Córdoba;14;7
13/4/2020;Jujuy;38;2
13/4/2020;La Rioja;46;12
13/4/2020;Mendoza;50;6
13/4/2020;Neuquén;58;1
13/4/2020;Río Negro;62;9
13/4/2020;Salta;66;1
13/4/2020;Santa Fe;82;6
13/4/2020;Tierra del Fuego;94;2
14/4/2020;Buenos Aires;6;46
14/4/2020;CABA;2;24
14/4/2020;Chaco;22;8
14/4/2020;Corrientes;18;3
14/4/2020;Córdoba;14;13
14/4/2020;Jujuy;38;3
14/4/2020;La Rioja;46;1
14/4/2020;Mendoza;50;11
14/4/2020;Neuquén;58;1
14/4/2020;Río Negro;62;20
14/4/2020;SIN ESPECIFICAR;99;1
14/4/2020;Santa Fe;82;3
14/4/2020;Tierra del Fuego;94;3
15/4/2020;Buenos Aires;6;66
15/4/2020;CABA;2;31
15/4/2020;Catamarca;10;1
15/4/2020;Chaco;22;10
15/4/2020;Corrientes;18;1
15/4/2020;Córdoba;14;11
15/4/2020;Entre Ríos;30;1
